"","x"
"1",4
"2",6
"3",5
"4",7
"5",7
"6",2
"7",5
"8",7
"9",5
"10",5
"11",8
"12",5
"13",6
"14",5
"15",3
"16",7
"17",4
"18",2
"19",4
"20",8
"21",7
"22",6
"23",6
"24",9
"25",6
"26",6
"27",5
"28",5
"29",4
"30",3
"31",8
"32",7
"33",6
"34",6
"35",2
"36",5
"37",6
"38",4
"39",4
"40",4
"41",3
"42",5
"43",5
"44",4
"45",3
"46",3
"47",4
"48",5
"49",4
"50",7
"51",2
"52",5
"53",6
"54",3
"55",5
"56",4
"57",3
"58",6
"59",7
"60",4
"61",6
"62",3
"63",5
"64",4
"65",6
"66",5
"67",6
"68",6
"69",6
"70",5
"71",6
"72",6
"73",6
"74",0
"75",5
"76",4
"77",5
"78",5
"79",4
"80",3
"81",4
"82",6
"83",5
"84",6
"85",3
"86",5
"87",8
"88",7
"89",7
"90",4
"91",3
"92",6
"93",4
"94",6
"95",4
"96",4
"97",6
"98",3
"99",5
"100",5
"101",5
"102",4
"103",5
"104",8
"105",5
"106",7
"107",7
"108",5
"109",5
"110",3
"111",7
"112",4
"113",3
"114",8
"115",6
"116",3
"117",5
"118",8
"119",5
"120",5
"121",6
"122",4
"123",4
"124",4
"125",4
"126",8
"127",3
"128",3
"129",3
"130",6
"131",5
"132",7
"133",6
"134",6
"135",5
"136",6
"137",6
"138",6
"139",8
"140",5
"141",4
"142",5
"143",1
"144",4
"145",7
"146",4
"147",4
"148",3
"149",4
"150",6
"151",7
"152",5
"153",5
"154",4
"155",3
"156",5
"157",5
"158",4
"159",5
"160",4
"161",5
"162",4
"163",6
"164",4
"165",4
"166",5
"167",6
"168",4
"169",5
"170",4
"171",6
"172",4
"173",7
"174",6
"175",6
"176",5
"177",4
"178",5
"179",7
"180",5
"181",7
"182",4
"183",6
"184",4
"185",5
"186",5
"187",4
"188",5
"189",7
"190",7
"191",4
"192",4
"193",8
"194",5
"195",7
"196",5
"197",5
"198",6
"199",3
"200",5
"201",4
