Store  ,Format Desc  ,Region ,"Total Sales (Sales Inc VAT, Inc DI)",Completed Order Count,Avg Basket Size (Prod Sales),AIP,IPO,Distinct Customers,Frequency,Avg E2E: total delivery time,DOT% (60 mins),Pick availability (pre-sub),Avg E2E: dispatched to arrived at customer,Avg E2E: pick end to dispatched,Avg E2E: pick trip time,Avg E2E: time at customer door,Avg E2E: time to respond to pick
2075 Fulmar Drive Express,Convenience North,NORTH EAST,"£1,417",35,£37.32,£2.77,13.5,29,1.2,32.7,89.50%,99.70%,6,21,3,2,1
2076 Pontefract Express,Convenience North,NORTH EAST,"£4,437",145,£27.70,£2.84,9.8,106,1.4,29.6,93.70%,97.60%,7,14,4,2,3
2077 Hemlington Express,Convenience North,NORTH EAST,"£3,588",121,£26.49,£2.75,9.6,87,1.4,27.5,99.20%,100.00%,6,15,2,1,3
2085 Mowmacre Express,Convenience Central,MIDLANDS,"£7,053",227,£27.95,£2.96,9.4,144,1.6,25.2,97.80%,99.80%,9,8,3,2,3
2086 Reeds Lane Express,Convenience North,NORTH WEST,"£4,171",138,£27.27,£2.63,10.4,93,1.5,30.9,94.20%,99.50%,6,18,3,1,2
2091 Cottingham Express,Convenience North,NORTH EAST,"£1,315",48,£24.37,£3.44,7.1,30,1.6,21.3,100.00%,97.20%,4,10,3,2,2
2093 Monks Way Express,Convenience North,NORTH EAST,"£1,984",72,£24.51,£2.21,11.1,54,1.3,25.8,98.60%,95.30%,6,13,4,2,1
2106 Whiteleas Way Express,Convenience North,NORTH EAST,"£2,407",67,£32.83,£2.81,11.7,58,1.2,34.6,89.40%,98.90%,7,19,4,1,3
3134 NORTH FELTHAM RD EXP,Convenience London,SOUTH EAST,"£4,454",151,£26.42,£2.91,9.1,108,1.4,24.7,98.00%,97.90%,6,14,3,1,1
4528 Felmores End Express,Convenience Central,SOUTH EAST,"£14,119",478,£26.37,£2.72,9.7,349,1.4,32.7,98.60%,99.80%,8,17,3,2,2
4875 Sanderstead Express,Convenience London,SOUTH EAST,"£9,298",313,£26.62,£2.58,10.3,250,1.3,29.9,94.90%,97.90%,7,13,3,1,5
4901 Victoria Express,Convenience London,GREATER LONDON,"£2,925",91,£29.09,£2.68,10.8,65,1.4,28.5,91.60%,98.70%,6,16,4,1,1
6496 LDN PENGE HIGH ST EXP,Convenience London,GREATER LONDON,"£2,160",76,£25.33,£2.63,9.6,58,1.3,20.9,98.70%,96.40%,4,8,4,1,4
6530 168 FULHAM PAL RD EXP,Convenience London,GREATER LONDON,"£1,906",63,£27.43,£2.53,10.8,45,1.4,24.4,96.80%,99.10%,5,11,4,1,3
6753 WATFORD LANGLEY EXP,Convenience London,SOUTH EAST,"£1,632",49,£30.30,£2.36,12.8,46,1.1,30.5,93.90%,96.90%,4,17,6,2,2
6755 GLASGOW GT WESTRN EXP,Convenience North,WEST SCOTLAND,£625,17,£33.89,£2.40,14.1,15,1.1,36.6,88.20%,96.80%,4,24,6,1,1
6763 TOOTING LONDON RD EXP,Convenience London,GREATER LONDON,£991,34,£26.04,£2.14,12.1,27,1.3,21.2,100.00%,98.50%,5,9,3,1,3
6777 KIDDERMINSTER S R EXP,Convenience Central,MIDLANDS,"£4,400",144,£27.43,£2.56,10.7,94,1.5,25,98.60%,100.00%,5,13,3,2,2
6820 ASHFORD STAINES EXP,Convenience London,SOUTH EAST,"£15,560",487,£28.86,£2.63,11,337,1.4,21.3,99.60%,98.30%,6,6,4,2,3
2001 Pittodrie Esso Express,Convenience North,EAST SCOTLAND,"£4,183",123,£31.01,£3.12,9.9,106,1.2,55.5,65.30%,97.20%,8,39,3,3,2
2003 Twickenham King Street Express,Convenience London,SOUTH EAST,£584,20,£26.34,£2.91,9.1,18,1.1,42,81.00%,99.40%,8,25,4,1,5
2004 Croydon Addiscombe Esso Express,Convenience London,GREATER LONDON,"£6,873",222,£27.89,£2.59,10.8,161,1.4,24.3,95.50%,98.80%,4,13,3,1,3
2005 Northampton Abington Esso Express,Convenience Central,MIDLANDS,"£3,570",108,£29.90,£2.53,11.8,83,1.3,24.4,98.10%,98.90%,7,10,3,2,2
2009 Preston Road Express,Convenience North,NORTH WEST,"£6,722",200,£30.50,£2.32,13.1,160,1.3,32.3,97.00%,98.40%,8,13,4,2,5
2011 Abergavenny Frogmore Street Express,Convenience South,WALES,"£2,669",76,£32.06,£2.76,11.6,53,1.4,41.4,84.20%,98.50%,6,26,5,2,3
2012 Acton Esso Express,Convenience London,GREATER LONDON,"£2,810",84,£30.31,£2.61,11.6,72,1.2,26.6,96.50%,99.00%,7,13,3,1,2
2013 Swindon Abbey Meads Express,Convenience South,SOUTH CENTRAL,"£1,687",55,£27.61,£2.69,10.3,39,1.4,28.5,94.50%,99.10%,7,14,3,2,2
2018 Dundee Station Express,Convenience North,EAST SCOTLAND,"£1,544",47,£29.94,£2.94,10.2,34,1.4,43,91.30%,99.20%,11,25,3,3,1
